o0900441	c	|DUG~b×(TAK₄~a.SA~a)|	|DUG~b×(TAK₄~a.SA~a)|	1	988
o0900443	c	|DUG~b×(TAK₄~a.SAL)|	|DUG~b×(TAK₄~a.SAL)|	1	989
o0900445	c	|DUG~b×TI|	|DUG~b×TI|	7	990
o0900447	c	|DUG~a×U₂~a|	|DUG~a×U₂~a|	1	903
o0900448	c	|DUG~a×U₂~b|	|DUG~a×U₂~b|	1	904
o0900449	c	|DUG~b×U₂~a|	|DUG~b×U₂~a|	1	991
o0900452	c	|DUG~b~v2×U₂~b|	|DUG~b×U₂~b|	1	1025
o0900454	c	|DUG~b×(UDU~a×TAR~b)|	|DUG~b×(UDU~a×TAR~b)|	2	993
o0900456	c	|DUG~b×UH₃~a|	|DUG~b×UH₃~a|	3	994
o0900458	c	|DUG~b×UH₃~a@t|	|DUG~b×UH₃~a@t|	1	995
o0900461	c	|DUG~b×X|	|DUG~b×X|	111	996
o0900466	c	|DUG~b×ZATU764|	|DUG~b×ZATU764|	2	999
o0900468	c	|DUG~b×ZATU779|	|DUG~b×ZATU779|	2	1000
o0900470	c	|DUG~b×ZATU780|	|DUG~b×ZATU780|	2	1001
o0900472	c	|DUG~b×ZATU781|	|DUG~b×ZATU781|	3	1002
o0900474	c	|DUG~b×(ZATU789.SA~a)|	|DUG~b×(ZATU789.SA~a)|	1	1003
o0900476	c	|(DUG~b~v1&DUG~b~v1)×1(N58)|	|DUG~b&(DUG~b×1(N58))|	1	1023
o0900479	s	DUG~c@t	DUG~c@t	1	1036
o0900481	s	DUGUD	DUGUD	1	1041
o0900483	s	DUR~a	DUR~a	22	1045
o0900484	s	DUR~b	DUR~b	34	1046
o0900485	s	DUR₂	DUR₂	57	1047
o0900487	s	E~a	E~a	80	1049
o0900488	s	E~b	E~b	19	1050
o0900489	s	E~c	E~c	1	1051
o0900493	s	E₂~a	E₂~a	434	1058
o0900494	s	E₂~b	E₂~b	91	1064
o0900495	s	E₂~c	E₂~c	1	1071
o0900496	s	E₂~d	E₂~d	2	1072
o0900503	c	|E₂~a×1(N58@t)|	|E₂~a×1(N57)@t|	38	1063
o0900504	c	|E₂~b×1(N58@t)|	|E₂~b×1(N57)@t|	5	1070
o0900510	s	E₃~b	E₃~b	1	1075
o0900511	s	EDIN	EDIN	5	1076
o0900513	s	EN~a	EN~a	1186	1079
o0900517	s	EN~b	EN~b	67	1087
o0900519	s	EN~c	EN~c	15	1090
o0900523	c	|EN~c&EN~c|	|EN~c&EN~c|	1	1091
o0900525	s	EN@g~a	EN@g~a	2	1096
o0900526	s	EN@g~b	EN@g~b	9	1097
o0900528	s	EN~b@t	EN~b@t	1	1089
o0900529	s	EN₂	EN₂	9	1099
o0900531	c	|EN₂.E₂~a|	|EN₂.E₂~a|	1	1101
o0900532	c	|EN₂.E₂~b|	|EN₂.E₂~b|	5	1102
o0900532	c	|EN₂.E₂~b|	|EN₂×E₂~b|	2	1102
o0900533	s	ENDIB	ENDIB	6	1104
o0900534	s	ENGIZ	ENGIZ	20	1105
o0900535	s	ENKUM	ENKUM	9	1106
o0900541	s	ERIM~a	ERIM~a	141	1110
o0900542	s	ERIM~b1	ERIM~b1	1	1111
o0900543	s	ERIM~b2	ERIM~b2	2	1112
o0900544	s	ERIM₂	ERIM₂	18	1113
o0900545	s	ERIN	ERIN	120	1114
o0900546	s	EŠDA	EŠDA	29	1115
o0900547	c	|EŠDA×TAR~a|	|EŠDA×TAR|	1	1117
o0900548	s	EŠGAR	EŠGAR	19	1118
o0900550	s	EZEN~a	EZEN~a	16	1139
o0900552	s	EZEN~b	EZEN~b	69	1164
o0900554	s	EZEN~c	EZEN~c	5	1168
o0900556	c	|EZEN~a~v1×EN~a|	|EZEN~a×EN~a|	1	1163
o0900557	c	|EZEN~a×EN~b~v1|	|EZEN~a×EN~b|	2	1144
o0900559	c	|EZEN~a×(HI×1(N57).AN)|	|EZEN~a×(HI.1(N57).AN)|	1	1146
o0900561	c	|EZEN~a×KAB|	|EZEN~a×KAB|	1	1147
o0900563	c	|EZEN~a×KAŠ~b|	|EZEN~a×KAŠ~b|	2	1148
o0900565	c	|EZEN~a×KI|	|EZEN~a+KI|	1	1149
o0900573	c	|EZEN~a×NIM~b2|	|EZEN~a×NIM~b2|	1	1151
o0900575	c	|EZEN~a×NIMGIR|	|EZEN~a×NIMGIR|	2	1152
o0900577	c	|EZEN~a×RAD~a|	|EZEN~a×RAD~a|	1	1153
o0900581	c	|EZEN~a×SU~a|	|EZEN~a×SU~a|	6	1156
o0900583	c	|EZEN~a×(U₂~b.A)|	|EZEN~a×(U₂~b.A)|	2	1157
o0900585	c	|EZEN~a×U₄|	|EZEN~a×U₄|	1	1158
o0900587	c	|EZEN~a×X|	|EZEN~a×X|	1	1159
o0900594	s	EZINU~a	EZINU~a	8	1170
o0900595	s	EZINU~b	EZINU~b	1	1171
o0900596	s	EZINU~c	EZINU~c	4	1172
o0900597	s	EZINU~d	EZINU~d	8	1173
o0900599	s	GA~a	GA~a	171	1178
o0900604	s	GA~b	GA~b	25	1187
o0900605	s	GA~c	GA~c	4	1188
o0900607	c	|GA~a~v1.ZATU753|	|GA~a.ZATU753|	65	1182
o0900610	c	|GA~c×KASKAL|	|GA~c×KASKAL|	2	1189
o0900612	c	|GA~c×1(N14)|	|GA~c×1(N14)|	1	1190
o0900616	s	GA₂~a1	GA₂~a1	86	1233
o0900617	s	GA₂~a2	GA₂~a2	13	1278
o0900618	s	GA₂~a3	GA₂~a3	1	1290
o0900619	s	GA₂~a4	GA₂~a4	1	1292
o0900620	s	GA₂~b	GA₂~b	18	1293
o0900621	s	GA₂~c	GA₂~c	1	1305
o0900623	c	|GA₂~a1×A|	|GA₂~a1×A|	3	1238
o0900625	c	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	6	1295
o0900626	c	|GA₂~b×DUB~b~v2|	|GA₂~b×DUB~b|	1	1297
o0900628	c	|GA₂~a1×E₂~a|	|GA₂~a×E₂~a|	1	1239
o0900631	c	|GA₂~a1×EN~b~v1|	|GA₂~a1×EN~b|	1	1242
o0900633	c	|GA₂~a1×GEŠTU~a|	|GA₂~a1×GEŠTU~a|	1	1243
o0900634	c	|GA₂~a1×GEŠTU~c3|	|GA₂~a1×GEŠTU~c3|	1	1244
o0900635	c	|GA₂~a1×GEŠTU~c5|	|GA₂~a1×GEŠTU~c5|	10	1245
o0900637	c	|GA₂~a1×GIR~a|	|GA₂~a1×GIR~a|	5	1246
o0900639	c	|GA₂~a1×(GIR~a.KU₆~a)|	|GA₂~a1×(GIR~a.KU₆~a)|	1	1247
o0900641	c	|GA₂~a1×GIŠ@t|	|GA₂~a1×GIŠ@t|	1	1248
o0900644	c	|GA₂~a2×GU₄|	|GA₂~a2×GU₄|	3	1279
o0900646	c	|GA₂~a2×(ŠE₃~v1.GU₄)|	|GA₂~a2×(GU₄.ŠE₃)|	9	1287
o0900648	c	|GA₂~a1×HAL|	|GA₂~a1×HAL|	1	1249
o0900650	c	|GA₂~a1×HI|	|GA₂~a1×HI|	3	1250
o0900654	c	|GA₂~a1×KU₃~a|	|GA₂~a1×KU₃~a|	1	1253
o0900657	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	11	1254
o0900658	c	|GA₂~b×KU₆~a|	|GA₂~b×KU₆~a|	1	1299
o0900660	c	|GA₂~a1×(KU₆~a.KU₆~a)|	|GA₂~a1×(KU₆~a.KU₆~a)|	1	1255
o0900662	c	|GA₂~a1×LAGAB~b|	|GA₂~a1×LAGAB~b|	1	1256
o0900664	c	|GA₂~a1×MAŠ|	|GA₂~a1×MAŠ|	1	1257
o0900666	c	|GA₂~a1×1(N14)|	|GA₂~a1×1(N14)|	3	1275
o0900668	c	|GA₂~a1×1(N57)|	|GA₂~a1×1(N57)|	3	1276
o0900677	c	|GA₂~a2×NI~a|	|GA₂~a2×NI~a|	1	1281
o0900685	c	|GA₂~a1×PAD~b|	|GA₂~a1×PAD~b|	1	1260
o0900687	c	|GA₂~a1×PAP~a|	|GA₂~a1×PAP~a|	1	1261
o0900689	c	|GA₂~a1×SU~a|	|GA₂~a1×SU~a|	1	1262
o0900691	c	|GA₂~a1×SUHUR|	|GA₂~a1×SUHUR|	5	1263
o0900692	c	|GA₂~a2×SUHUR|	|GA₂~a2×SUHUR|	1	1284
o0900694	c	|GA₂~a1×SUKUD|	|GA₂~a1×SUKUD|	5	1264
o0900699	c	|GA₂~a1×SUMAŠ|	|GA₂~a1×SUMAŠ|	1	1269
o0900701	c	|GA₂~a1×ŠA|	|GA₂~a1×ŠA|	1	1270
o0900703	c	|GA₂~a2×ŠE₃~v1|	|GA₂~a2×ŠE₃|	3	1286
o0900705	c	|GA₂~a1×TI|	|GA₂~a1×TI|	3	1271
o0900707	c	|GA₂~a1×U₄|	|GA₂~a1×U₄|	9	1272
o0900709	c	|GA₂~a1×X|	|GA₂~a1×X|	13	1273
o0900711	c	|GA₂~a2×X|	|GA₂~a2×X|	1	1288
o0900712	c	|GA₂~a3×X|	|GA₂~a3×X|	1	1291
o0900715	c	|GA₂~b×ZATU659|	|GA₂~b×ZATU659|	1	1302
o0900719	s	GAʾAR~a1	GAʾAR~a1	42	1307
o0900720	s	GAʾAR~a2	GAʾAR~a2	12	1308
o0900721	s	GAʾAR~b1	GAʾAR~b1	2	1309
o0900722	s	GAʾAR~b2	GAʾAR~b2	3	1310
o0900724	s	GADA~a	GADA~a	83	1313
o0900727	s	GADA~b@g	GADA~b@g	5	1315
o0900729	s	GAL~a	GAL~a	911	1318
o0900730	s	GAL~b	GAL~b	9	1319
o0900732	s	GALGA~a	GALGA~a	12	1321
o0900733	s	GALGA~b	GALGA~b	1	1322
o0900736	s	GAN~a	GAN~a	41	1338
o0900738	s	GAN~b	GAN~b	33	1340
o0900742	s	GAN~c	GAN~c	24	1344
o0900747	c	|GAN~c×DIN|	|GAN~c×DIN|	1	1345
o0900749	c	|GAN~d×GEŠTU~a~v2|	|GAN~d×GEŠTU~a|	1	1369
o0900751	c	|GAN~c×HI|	|GAN~c×HI|	1	1346
o0900755	c	|GAN~c×(HI.DIN)|	|GAN~c×(HI.DIN)|	2	1347
o0900757	c	|GAN~c~v1×KAŠ~c|	|GAN~c×KAŠ~c|	2	1361
o0900759	c	|GAN~c~v1×(KUR~a.A)|	|GAN~c×(KUR~a.A)|	1	1362
o0900761	c	|GAN~c×LAGAB~b|	|GAN~c×LAGAB~b|	2	1350
o0900763	c	|GAN~c×(4(N57).GAR)|	|GAN~c×(4(N57).GAR)|	1	1358
o0900767	c	|GAN~c×SIG₇|	|GAN~c×SIG₇|	1	1352
o0900769	c	|GAN~c~v2×ŠE~a|	|GAN~c×ŠE~a|	2	1365
o0900773	c	|GAN~c×X|	|GAN~c×X|	2	1356
o0900775	c	|GAN~c~v1×ZATU777~v1|	|GAN~c×ZATU777|	1	1363
o0900778	s	GAN₂	GAN₂	199	1371
o0900779	s	GAR	GAR	252	1372
o0900781	s	GAR@g~a	GAR@g~a	4	1374
o0900782	s	GAR@g~b	GAR@g~b	3	1375
o0900783	s	GAR@g~c	GAR@g~c	2	1376
o0900784	s	GAR₃	GAR₃	29	1377
o0900786	s	GARA₂~a	GARA₂~a	37	1379
o0900788	s	GAZI	GAZI	14	1382
o0900790	s	GEŠTIN~a	GEŠTIN~a	6	1384
o0900792	s	GEŠTIN~d	GEŠTIN~d	1	1385
o0900793	s	GEŠTIN~e	GEŠTIN~e	1	1386
o0900797	s	GEŠTU~a	GEŠTU~a	18	1389
o0900800	s	GEŠTU~b	GEŠTU~b	48	1393
o0900801	s	GEŠTU~c3	GEŠTU~c3	7	1395
o0900803	s	GEŠTU~c5	GEŠTU~c5	2	1397
o0900806	s	GI	GI	460	1398
o0900809	c	|GI×A|	|GI+A|	1	1400
o0900810	c	|GI~v1×GIŠ@t|	|GI×GIŠ@t|	1	1422
o0900812	c	|GI×KU~b1|	|GI×KU~b1|	6	1403
o0900814	c	|GI~v1×LAGAB~a|	|GI×LAGAB~a|	3	1423
o0900815	c	|GI~v1×1(N14)|	|GI×1(N14)|	1	1424
o0900816	c	|GI×1(N58@t)|	|GI×1(N58)@t|	2	1414
o0900817	c	|GI×NAM₂|	|GI×NAM₂|	1	1406
o0900819	c	|GI×SIG₂~d1|	|GI×SIG₂~d1|	2	1408
o0900820	c	|GI×ŠE₃~v1|	|GI×ŠE₃|	5	1410
o0900822	c	|GI&GI|	|GI&GI|	64	1415
o0900823	c	|(GI&GI)×GIŠ@t|	|(GI&GI)×GIŠ@t|	1	1416
o0900826	c	|GI~v1&GI~v1&GI~v1|	|GI&GI&GI|	2	1425
o0900827	s	GI@t	GI@t	1	1426
o0900829	s	GI₄~a	GI₄~a	21	1430
o0900830	s	GI₄~b	GI₄~b	7	1433
o0900832	c	|GI₄~a×A|	|GI₄~a×A|	1	1431
o0900835	c	|GI₄~b&GI₄~b|	|GI₄~b&GI₄~b|	1	1434
o0900836	s	GI₆	GI₆	91	1435
o0900839	s	GIBIL	GIBIL	81	1438
o0900841	s	GIBIL₆	GIBIL₆	2	1440
o0900845	s	GIR~a	GIR~a	14	1444
o0900846	s	GIR~b	GIR~b	4	1446
o0900848	s	GIR~c	GIR~c	3	1450
o0900849	s	GIR~d	GIR~d	1	1451
o0900851	c	|GIR~b~v1.GIR~b~v1|	|GIR~b.GIR~b|	4	1449
o0900853	c	|GIR~a.KU₆~a|	|GIR~a.KU₆~a|	1	1445
o0900855	s	GIR₂~a	GIR₂~a	66	1454
o0900858	s	GIR₃~a	GIR₃~a	21	1460
o0900859	s	GIR₃~b	GIR₃~b	1	1462
o0900860	s	GIR₃~c	GIR₃~c	60	1463
o0900864	c	|GIR₃~a×ŠE~b|	|GIR₃~a×ŠE~b|	1	1461
o0900866	c	|GIR₃~c×ŠE₃~v1|	|GIR₃~c×ŠE₃|	2	1467
o0900869	s	GIR₃@g~a	GIR₃@g~a	4	1470
