pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12B0A	𒬊	12C76	𒱶	URUDU~c	URUDU~c	URUDU-C	URUDU-C	o0902376
12B0B	𒬋	12C77	𒱷	URUDU~d	URUDU~d	URUDU-D	URUDU-D	o0902377
12B0C	𒬌	12C78	𒱸	URUDU@g~a	URUDU@g~a	URUDU GUNU-A	URUDU GUNU-A	o0902379
12B0D	𒬍	12C7A	𒱺	URUDU@g~c	URUDU@g~c	URUDU GUNU-C	URUDU GUNU-C	o0902381
12B0E	𒬎	12C7B	𒱻	URUDU@g~d	URUDU@g~d	URUDU GUNU-D	URUDU GUNU-D	o0902382
12B0F	𒬏	12C7C	𒱼	UŠ~a	UŠ~a	USH-A	USH-A	o0902384
12B10	𒬐	12C7D	𒱽	|UŠ~a&UŠ~a|	|UŠ~a&UŠ~a|	USH-A OVER USH-A	USH-A OVER USH-A	o0902392
12B11	𒬑	12C7E	𒱾	UŠ~b	UŠ~b	USH-B	USH-B	o0902385
12B12	𒬒	12C7F	𒱿	|UŠ~b×TAR~c|	|UŠ~b×TAR~c|	USH-B TIMES TAR-C	USH-B TIMES TAR-C	o0902388
12B13	𒬓	12C80	𒲀	|UŠ~b&UŠ~b|	|UŠ~b&UŠ~b|	USH-B OVER USH-B	USH-B OVER USH-B	o0902393
12B14	𒬔	12C83	𒲃	UŠUMGAL	UŠUMGAL	USHUMGAL	USHUMGAL	o0902394
12B15	𒬕	12C84	𒲄	UŠUR₃~b1	UŠUR₃~b1	USHUR3-B1	USHUR3-B1	o0902397
12B16	𒬖	12C85	𒲅	UŠUR₃~b2	UŠUR₃~b2	USHUR3-B2	USHUR3-B2	o0902398
12B17	𒬗	12C86	𒲆	UTUA~a	UTUA~a	UTUA-A	UTUA-A	o0902400
12B18	𒬘	12C87	𒲇	UTUA~a@t	UTUA~a@t	UTUA-A TENU	UTUA-A TENU	o0902404
12B19	𒬙	12C88	𒲈	UTUA~b	UTUA~b	UTUA-B	UTUA-B	o0902401
12B1A	𒬚	12C8A	𒲊	UTUL~a	UTUL~a	UTUL-A	UTUL-A	o0902406
12B1B	𒬛	12C8B	𒲋	UTUL~b	UTUL~b	UTUL-B	UTUL-B	o0902407
12B1C	𒬜	12C8C	𒲌	UTUL~c	UTUL~c	UTUL-C	UTUL-C	o0902408
12B1D	𒬝	12C8D	𒲍	UTUL~d	UTUL~d	UTUL-D	UTUL-D	o0902409
12B1E	𒬞	12C8E	𒲎	UZ~a	UZ~a	UZ-A	UZ-A	o0902411
12B1F	𒬟	12C8F	𒲏	UZU	UZU	UZU	UZU	o0902412
12B20	𒬠	12C90	𒲐	ZA~v	ZA~v	ZA-V	ZA-V	o0902416
12B21	𒬡	12C91	𒲑	ZABALAM~a	ZABALAM~a	ZABALAM-A	ZABALAM-A	o0902418
12B22	𒬢	12C93	𒲓	ZAG~a	ZAG~a	ZAG-A	ZAG-A	o0902422
12B23	𒬣	12C95	𒲕	ZAG~b	ZAG~b	ZAG-B	ZAG-B	o0902424
12B24	𒬤	12C96	𒲖	ZAG~c	ZAG~c	ZAG-C	ZAG-C	o0902425
12B25	𒬥	12C97	𒲗	ZAR~a	ZAR~a	ZAR-A	ZAR-A	o0902427
12B26	𒬦	12C98	𒲘	ZAR~b1	ZAR~b1	ZAR-B1	ZAR-B1	o0902428
12B27	𒬧	12C99	𒲙	ZAR~b2	ZAR~b2	ZAR-B2	ZAR-B2	o0902429
12B28	𒬨	12C9A	𒲚	ZAR~c	ZAR~c	ZAR-C	ZAR-C	o0902430
12B29	𒬩	12C9B	𒲛	ZATU620	ZATU620	ZATU620	ZATU620	o0902431
12B2A	𒬪	12C9C	𒲜	ZATU621~a	ZATU621~a	ZATU621-A	ZATU621-A	o0902433
