pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12884	𒢄	12925	𒤥	KAL~a	KAL~a	KAL-A	KAL-A	o0901057
12885	𒢅	12926	𒤦	KAL~b1	KAL~b1	KAL-B1	KAL-B1	o0901058
12886	𒢆	12928	𒤨	KAL~b2	KAL~b2	KAL-B2	KAL-B2	o0901060
12887	𒢇	12929	𒤩	KALAM~a	KALAM~a	KALAM-A	KALAM-A	o0901062
12888	𒢈	1292A	𒤪	KALAM~b	KALAM~b	KALAM-B	KALAM-B	o0901063
12889	𒢉	1292B	𒤫	KALAM~c	KALAM~c	KALAM-C	KALAM-C	o0901064
1288A	𒢊	1292C	𒤬	KALAM~d	KALAM~d	KALAM-D	KALAM-D	o0901065
1288B	𒢋	1292D	𒤭	KALAM~e	KALAM~e	KALAM-E	KALAM-E	o0901066
1288C	𒢌	1292E	𒤮	KALAM~f	KALAM~f	KALAM-F	KALAM-F	o0901067
1288D	𒢍	F303C	󳀼	KALAM~g		KALAM-G		o0901068
1288E	𒢎	F303D	󳀽	KALAM~h		KALAM-H		o0901069
1288F	𒢏	F303E	󳀾	KALAM~h2		KALAM-H2		o0901070
12890	𒢐	1292F	𒤯	KAR	KAR	KAR	KAR	o0901071
12891	𒢑	12930	𒤰	KAR₂~a	KAR₂~a	KAR2-A	KAR2-A	o0901073
12892	𒢒	12931	𒤱	KAR₂~b	KAR₂~b	KAR2-B	KAR2-B	o0901074
12893	𒢓	12932	𒤲	KASKAL	KASKAL	KASKAL	KASKAL	o0901075
12894	𒢔	12934	𒤴	KAŠ~a	KAŠ~a	KASH-A	KASH-A	o0901078
12895	𒢕	12936	𒤶	KAŠ~b	KAŠ~b	KASH-B	KASH-B	o0901080
12896	𒢖	12939	𒤹	|KAŠ~b×ŠE~a@t|	|KAŠ~b~v1×ŠE~a@t~v1|	KASH-B TIMES SHE-A TENU	KASH-B VARIANT 1 TIMES SHE-A TENU VARIANT 1	o0901086
12897	𒢗	1293A	𒤺	KAŠ~c	KAŠ~c	KASH-C	KASH-C	o0901082
12898	𒢘	1293B	𒤻	KAŠ~d	KAŠ~d	KASH-D	KASH-D	o0901083
12899	𒢙	1293C	𒤼	KI	KI	KI	KI	o0901090
1289A	𒢚	1293D	𒤽	KI@n	KI@n	KI NUTILLU	KI NUTILLU	o0901091
1289B	𒢛	1293E	𒤾	|KI@n×DUB~a|	|KI@n×DUB~a|	KI NUTILLU TIMES DUB-A	KI NUTILLU TIMES DUB-A	o0901093
1289C	𒢜	1293F	𒤿	KIB	KIB	KIB	KIB	o0901094
1289D	𒢝	12940	𒥀	KIB@g	KIB@g	KIB GUNU	KIB GUNU	o0901095
1289E	𒢞	12941	𒥁	KID~a	KID~a	KID-A	KID-A	o0901097
1289F	𒢟	12942	𒥂	KID~b	KID~b	KID-B	KID-B	o0901098
128A0	𒢠	12943	𒥃	KID~c	KID~c	KID-C	KID-C	o0901099
128A1	𒢡	12944	𒥄	KID~d	KID~d	KID-D	KID-D	o0901100
128A2	𒢢	12945	𒥅	KID~e	KID~e	KID-E	KID-E	o0901101
128A3	𒢣	12946	𒥆	KIN	KIN	KIN	KIN	o0901102
128A4	𒢤	12947	𒥇	KIN₂~a	KIN₂~a	KIN2-A	KIN2-A	o0901104
128A5	𒢥	F3073	󳁳	KIN₂~b		KIN2-B		o0901105
128A6	𒢦	12948	𒥈	KIN₂~c	KIN₂~c	KIN2-C	KIN2-C	o0901106
128A7	𒢧	12949	𒥉	KIN₂~d	KIN₂~d	KIN2-D	KIN2-D	o0901107
128A8	𒢨	1294A	𒥊	KIN₂~e	KIN₂~e	KIN2-E	KIN2-E	o0901108
128A9	𒢩	1294B	𒥋	KINGAL	KINGAL	KINGAL	KINGAL	o0901109
128AA	𒢪	1294D	𒥍	KIR₁₁	KIR₁₁	KIR11	KIR11	o0901111
128AB	𒢫	1294E	𒥎	KISAL~a1	KISAL~a1	KISAL-A1	KISAL-A1	o0901113
128AC	𒢬	12950	𒥐	KISAL~b1	KISAL~b1	KISAL-B1	KISAL-B1	o0901115
128AD	𒢭	12951	𒥑	KISAL~b2	KISAL~b2	KISAL-B2	KISAL-B2	o0901116
128AE	𒢮	12952	𒥒	KISAL~b2@t	KISAL~b2@t	KISAL-B2 TENU	KISAL-B2 TENU	o0901120
128AF	𒢯	12953	𒥓	KISAL~b3	KISAL~b3	KISAL-B3	KISAL-B3	o0901117
128B0	𒢰	12954	𒥔	KISIM~a	KISIM~a	KISIM-A	KISIM-A	o0901122
128B1	𒢱	12955	𒥕	KISIM~b	KISIM~b	KISIM-B	KISIM-B	o0901123
128B2	𒢲	12959	𒥙	KISIM~c	KISIM~c	KISIM-C	KISIM-C	o0901127
128B3	𒢳	1295A	𒥚	KIŠ	KIŠ	KISH	KISH	o0901128
128B4	𒢴	1295C	𒥜	KIŠIK~a	KIŠIK~a	KISHIK-A	KISHIK-A	o0901131
128B5	𒢵	1295D	𒥝	KIŠIK~b	KIŠIK~b	KISHIK-B	KISHIK-B	o0901132
128B6	𒢶	1295E	𒥞	KITI	KITI	KITI	KITI	o0901133
128B7	𒢷	12960	𒥠	KU~a	KU~a	KU-A	KU-A	o0901136
128B8	𒢸	12961	𒥡	KU~b1	KU~b1	KU-B1	KU-B1	o0901137
128B9	𒢹	12962	𒥢	KU~b2	KU~b2	KU-B2	KU-B2	o0901138
128BA	𒢺	12963	𒥣	KU₃~a	KU₃~a	KU3-A	KU3-A	o0901142
128BB	𒢻	12964	𒥤	KU₃~c	KU₃~c	KU3-C	KU3-C	o0901143
128BC	𒢼	12965	𒥥	KU₆~a	KU₆~a	KU6-A	KU6-A	o0901145
128BD	𒢽	12968	𒥨	|KU₆~a+KU₆~a|	|KU₆~a+KU₆~a|	KU6-A JOINING KU6-A	KU6-A JOINING KU6-A	o0901153
128BE	𒢾	1296A	𒥪	KU₆~c	KU₆~c	KU6-C	KU6-C	o0901146
128BF	𒢿	1296C	𒥬	KUR~a	KUR~a	KUR-A	KUR-A	o0901158
128C0	𒣀	1296F	𒥯	KUR~b	KUR~b	KUR-B	KUR-B	o0901159
128C1	𒣁	12971	𒥱	KUR~c	KUR~c	KUR-C	KUR-C	o0901160
128C2	𒣂	12974	𒥴	KUR@g~a	KUR@g~a	KUR GUNU-A	KUR GUNU-A	o0901169
128C3	𒣃	12975	𒥵	KUR@g~b	KUR@g~b	KUR GUNU-B	KUR GUNU-B	o0901170
128C4	𒣄	12976	𒥶	KUŠU₂~a	KUŠU₂~a	KUSHU2-A	KUSHU2-A	o0901172
128C5	𒣅	12977	𒥷	KUŠU₂~b	KUŠU₂~b	KUSHU2-B	KUSHU2-B	o0901173
128C6	𒣆	12978	𒥸	KUŠU₂~c	KUŠU₂~c	KUSHU2-C	KUSHU2-C	o0901174
128C7	𒣇	12979	𒥹	KUŠU₂~d	KUŠU₂~d	KUSHU2-D	KUSHU2-D	o0901175
128C8	𒣈	1297A	𒥺	KUŠU₂~e	KUŠU₂~e	KUSHU2-E	KUSHU2-E	o0901176
128C9	𒣉	1297B	𒥻	KUŠU₂~f	KUŠU₂~f	KUSHU2-F	KUSHU2-F	o0901177
128CA	𒣊	1297C	𒥼	LA~b	LA~b	LA-B	LA-B	o0901179
128CB	𒣋	1297E	𒥾	LA~d	LA~d	LA-D	LA-D	o0901181
128CC	𒣌	1297F	𒥿	LA₂	LA₂	LA2	LA2	o0901184
128CD	𒣍	12980	𒦀	LAGAB~a	LAGAB~a	LAGAB-A	LAGAB-A	o0901186
128CE	𒣎	12983	𒦃	|LAGAB~a×DU₆~a|	|LAGAB~a×DU₆~a~v1|	LAGAB-A TIMES DU6-A	LAGAB-A TIMES DU6-A VARIANT 1	o0901197
128CF	𒣏	12985	𒦅	|LAGAB~a×KU₆~a|	|LAGAB~a×KU₆~a|	LAGAB-A TIMES KU6-A	LAGAB-A TIMES KU6-A	o0901207
128D0	𒣐	12986	𒦆	|LAGAB~a×(KU₆~a+KU₆~a)|	|LAGAB~a×(KU₆~a+KU₆~a)|	LAGAB-A TIMES KU6-A JOINING KU6-A	LAGAB-A TIMES KU6-A JOINING KU6-A	o0901209
128D1	𒣑	12987	𒦇	|LAGAB~a×KUŠU₂~a@t|	|LAGAB~a×KUŠU₂~a@t|	LAGAB-A TIMES KUSHU2-A TENU	LAGAB-A TIMES KUSHU2-A TENU	o0901213
128D2	𒣒	12989	𒦉	|LAGAB~a×ME~a|	|LAGAB~a×ME~a|	LAGAB-A TIMES ME-A	LAGAB-A TIMES ME-A	o0901219
128D3	𒣓	1298A	𒦊	|LAGAB~a×NUN~b|	|LAGAB~a×NUN~b|	LAGAB-A TIMES NUN-B	LAGAB-A TIMES NUN-B	o0901229
128D4	𒣔	1298B	𒦋	|LAGAB~a×PA~a|	|LAGAB~a×PA~a|	LAGAB-A TIMES PA-A	LAGAB-A TIMES PA-A	o0901231
128D5	𒣕	1298D	𒦍	|LAGAB~a×SIG₇|	|LAGAB~a×SIG₇~v1|	LAGAB-A TIMES SIG7	LAGAB-A TIMES SIG7 VARIANT 1	o0901237
128D6	𒣖	1298E	𒦎	|LAGAB~a×SU~a|	|LAGAB~a×SU~a|	LAGAB-A TIMES SU-A	LAGAB-A TIMES SU-A	o0901239
128D7	𒣗	1298F	𒦏	|LAGAB~a×ŠA|	|LAGAB~a×ŠA|	LAGAB-A TIMES SHA	LAGAB-A TIMES SHA	o0901243
128D8	𒣘	12990	𒦐	|LAGAB~a×ŠITA~a1|	|LAGAB~a×ŠITA~a1|	LAGAB-A TIMES SHITA-A1	LAGAB-A TIMES SHITA-A1	o0901245
128D9	𒣙	12991	𒦑	|LAGAB~a×TI|	|LAGAB~a×TI|	LAGAB-A TIMES TI	LAGAB-A TIMES TI	o0901248
128DA	𒣚	12992	𒦒	|LAGAB~a×U₄|	|LAGAB~a×U₄|	LAGAB-A TIMES U4	LAGAB-A TIMES U4	o0901250
128DB	𒣛	12993	𒦓	|LAGAB~a×UB|	|LAGAB~a×UB|	LAGAB-A TIMES UB	LAGAB-A TIMES UB	o0901253
128DC	𒣜	12995	𒦕	|LAGAB~a×ZATU753|	|LAGAB~a×ZATU753|	LAGAB-A TIMES ZATU753	LAGAB-A TIMES ZATU753	o0901258
128DD	𒣝	12996	𒦖	|LAGAB~a×2(N14)|	|LAGAB~a×2(N14)|	LAGAB-A TIMES TWO-N14	LAGAB-A TIMES TWO-N14	o0901223
128DE	𒣞	F301A	󳀚	|LAGAB~a×1(N58)|		LAGAB-A TIMES ONE-N58		o0901225
128DF	𒣟	12997	𒦗	LAGAB~b	LAGAB~b	LAGAB-B	LAGAB-B	o0901187
128E0	𒣠	1299A	𒦚	|LAGAB~b×HI|	|LAGAB~b×HI|	LAGAB-B TIMES HI	LAGAB-B TIMES HI	o0901201
128E1	𒣡	1299B	𒦛	|LAGAB~b×KUR~e|	|LAGAB~b×KUR~e|	LAGAB-B TIMES KUR-E	LAGAB-B TIMES KUR-E	o0901211
128E2	𒣢	1299C	𒦜	|LAGAB~b×PA~a|	|LAGAB~b×PA~a|	LAGAB-B TIMES PA-A	LAGAB-B TIMES PA-A	o0901232
128E3	𒣣	1299E	𒦞	|LAGAB~b×U₄|	|LAGAB~b×U₄|	LAGAB-B TIMES U4	LAGAB-B TIMES U4	o0901251
128E4	𒣤	1299F	𒦟	|LAGAB~b&LAGAB~b|	|LAGAB~b&LAGAB~b|	LAGAB-B OVER LAGAB-B	LAGAB-B OVER LAGAB-B	o0901260
128E5	𒣥	129A0	𒦠	LAGAR~a	LAGAR~a	LAGAR-A	LAGAR-A	o0901262
128E6	𒣦	129A1	𒦡	LAGAR~a@r	LAGAR~a@r	LAGAR-A REVERSED	LAGAR-A REVERSED	o0901267
128E7	𒣧	129A2	𒦢	LAGAR~b1	LAGAR~b1	LAGAR-B1	LAGAR-B1	o0901263
128E8	𒣨	129A3	𒦣	LAGAR~b2	LAGAR~b2	LAGAR-B2	LAGAR-B2	o0901264
128E9	𒣩	129A4	𒦤	LAGAR~c	LAGAR~c	LAGAR-C	LAGAR-C	o0901265
128EA	𒣪	129A5	𒦥	LAHTAN₂	LAHTAN₂	LAHTAN2	LAHTAN2	o0901268
128EB	𒣫	129A6	𒦦	LAL₂~a	LAL₂~a	LAL2-A	LAL2-A	o0901270
128EC	𒣬	F303F	󳀿	|LAL₂~a×NAGA~a|		LAL2-A TIMES NAGA-A		o0901275
128ED	𒣭	129A8	𒦨	|LAL₂~a×NIM~b2|	|LAL₂~a×NIM~b2|	LAL2-A TIMES NIM-B2	LAL2-A TIMES NIM-B2	o0901277
128EE	𒣮	129A9	𒦩	LAL₂~b	LAL₂~b	LAL2-B	LAL2-B	o0901271
128EF	𒣯	129AA	𒦪	LAL₃~a	LAL₃~a	LAL3-A	LAL3-A	o0901279
128F0	𒣰	129AC	𒦬	LAM~a	LAM~a	LAM-A	LAM-A	o0901283
128F1	𒣱	129AD	𒦭	LAM~b	LAM~b	LAM-B	LAM-B	o0901284
128F2	𒣲	129AE	𒦮	LAM~b@r	LAM~b@r	LAM-B REVERSED	LAM-B REVERSED	o0901290
128F3	𒣳	129B0	𒦰	LAM~b@t	LAM~b@t	LAM-B TENU	LAM-B TENU	o0901294
128F4	𒣴	129B3	𒦳	LI	LI	LI	LI	o0901301
128F5	𒣵	129B5	𒦵	LIŠ	LIŠ	LISH	LISH	o0901303
128F6	𒣶	129B6	𒦶	LU₂	LU₂	LU2	LU2	o0901304
128F7	𒣷	129BA	𒦺	LUGAL	LUGAL	LUGAL	LUGAL	o0901310
128F8	𒣸	129BC	𒦼	LUM	LUM	LUM	LUM	o0901312
128F9	𒣹	129BD	𒦽	MA	MA	MA	MA	o0901313
128FA	𒣺	129BE	𒦾	|MA×MA|	|MA×MA|	MA TIMES MA	MA TIMES MA	o0901316
128FB	𒣻	129BF	𒦿	|MA×1(N58)|	|MA×1(N58)|	MA TIMES ONE-N58	MA TIMES ONE-N58	o0901318
128FC	𒣼	129C1	𒧁	|MA×A|	|MA~v1×A|	MA TIMES A	MA VARIANT 1 TIMES A	o0901315
128FD	𒣽	129C2	𒧂	MA₂	MA₂	MA2	MA2	o0901320
128FE	𒣾	129C3	𒧃	MAGUR~a	MAGUR~a	MAGUR-A	MAGUR-A	o0901322
128FF	𒣿	129C5	𒧅	MAH~a	MAH~a	MAH-A	MAH-A	o0901325
12900	𒤀	129C6	𒧆	|MAH~a×AB₂|	|MAH~a×AB₂|	MAH-A TIMES AB2	MAH-A TIMES AB2	o0901328
12901	𒤁	129C7	𒧇	|MAH~a×GUKKAL~a|	|MAH~a×GUKKAL~a|	MAH-A TIMES GUKKAL-A	MAH-A TIMES GUKKAL-A	o0901330
12902	𒤂	129C8	𒧈	|MAH~a×KU₆~a|	|MAH~a×KU₆~a|	MAH-A TIMES KU6-A	MAH-A TIMES KU6-A	o0901332
12903	𒤃	129C9	𒧉	|MAH~a×MAŠ|	|MAH~a×MAŠ|	MAH-A TIMES MASH	MAH-A TIMES MASH	o0901335
12904	𒤄	129CA	𒧊	|MAH~a×NA~a|	|MAH~a×NA~a|	MAH-A TIMES NA-A	MAH-A TIMES NA-A	o0901338
12905	𒤅	129CB	𒧋	|MAH~a×(SILA₃~a×UMBIN~a)|	|MAH~a×(SILA₃~a×UMBIN~a)|	MAH-A TIMES SILA3-A TIMES UMBIN-A	MAH-A TIMES SILA3-A TIMES UMBIN-A	o0901343
12906	𒤆	129CC	𒧌	|MAH~a×TUG₂~a|	|MAH~a×TUG₂~a|	MAH-A TIMES TUG2-A	MAH-A TIMES TUG2-A	o0901345
12907	𒤇	F3040	󳁀	|MAH~a×TUN₃~c|		MAH-A TIMES TUN3-C		o0901347
12908	𒤈	129CD	𒧍	|MAH~a×UD₅~a|	|MAH~a×UD₅~a~v1|	MAH-A TIMES UD5-A	MAH-A TIMES UD5-A VARIANT 1	o0901349
12909	𒤉	129CE	𒧎	|MAH~a×UDU~a|	|MAH~a×UDU~a|	MAH-A TIMES UDU-A	MAH-A TIMES UDU-A	o0901351
1290A	𒤊	129CF	𒧏	|MAH~a×UR~a|	|MAH~a×UR~a|	MAH-A TIMES UR-A	MAH-A TIMES UR-A	o0901353
1290B	𒤋	129D0	𒧐	|MAH~a×UTUA~a|	|MAH~a×UTUA~a|	MAH-A TIMES UTUA-A	MAH-A TIMES UTUA-A	o0901355
1290C	𒤌	129D2	𒧒	|MAH~a×ZATU659|	|MAH~a×ZATU659|	MAH-A TIMES ZATU659	MAH-A TIMES ZATU659	o0901359
1290D	𒤍	129D3	𒧓	MAH~b	MAH~b	MAH-B	MAH-B	o0901326
1290E	𒤎	129D6	𒧖	|MAH~b×NA~a|	|MAH~b×NA~a|	MAH-B TIMES NA-A	MAH-B TIMES NA-A	o0901339
1290F	𒤏	129D7	𒧗	|MAH~b×SAL|	|MAH~b×SAL|	MAH-B TIMES SAL	MAH-B TIMES SAL	o0901341
12910	𒤐	129D8	𒧘	MAR~a	MAR~a	MAR-A	MAR-A	o0901361
12911	𒤑	129D9	𒧙	MAR~a@t	MAR~a@t	MAR-A TENU	MAR-A TENU	o0901375
12912	𒤒	129DB	𒧛	MAR~b	MAR~b	MAR-B	MAR-B	o0901363
12913	𒤓	129DC	𒧜	|MAR~b×(LAGAB~b.ŠE₃)|	|MAR~b×(LAGAB~b.ŠE₃~v1)|	MAR-B TIMES LAGAB-B PLUS SHE3	MAR-B TIMES LAGAB-B PLUS SHE3 VARIANT 1	o0901367
12914	𒤔	129DD	𒧝	|MAR~b×ŠE~a|	|MAR~b×ŠE~a|	MAR-B TIMES SHE-A	MAR-B TIMES SHE-A	o0901369
12915	𒤕	F301C	󳀜	MAR@g~a		MAR GUNU-A		o0901373
12916	𒤖	129DF	𒧟	MAŠ	MAŠ	MASH	MASH	o0901376
12917	𒤗	129E0	𒧠	MAŠ₂	MAŠ₂	MASH2	MASH2	o0901377
12918	𒤘	129E1	𒧡	MAŠ₂@g	MAŠ₂@g	MASH2 GUNU	MASH2 GUNU	o0901378
12919	𒤙	129E2	𒧢	ME~a	ME~a	ME-A	ME-A	o0901380
1291A	𒤚	129E3	𒧣	ME~b	ME~b	ME-B	ME-B	o0901381
1291B	𒤛	129E4	𒧤	ME₃	ME₃	ME3	ME3	o0901382
1291C	𒤜	129E5	𒧥	MEN~a	MEN~a	MEN-A	MEN-A	o0901384
1291D	𒤝	129E7	𒧧	MEN~b	MEN~b	MEN-B	MEN-B	o0901386
1291E	𒤞	129E8	𒧨	MES	MES	MES	MES	o0901387
1291F	𒤟	129EA	𒧪	MIR~a	MIR~a	MIR-A	MIR-A	o0901390
12920	𒤠	129EB	𒧫	MIR~b	MIR~b	MIR-B	MIR-B	o0901391
12921	𒤡	129EC	𒧬	MU	MU	MU	MU	o0901392
12922	𒤢	129ED	𒧭	MUD	MUD	MUD	MUD	o0901393
12923	𒤣	129EF	𒧯	MUD₃~a	MUD₃~a	MUD3-A	MUD3-A	o0901396
12924	𒤤	129F0	𒧰	MUD₃~a@g	MUD₃~a@g	MUD3-A GUNU	MUD3-A GUNU	o0901401
12925	𒤥	129F1	𒧱	MUD₃~b	MUD₃~b	MUD3-B	MUD3-B	o0901397
12926	𒤦	129F2	𒧲	MUD₃~c	MUD₃~c	MUD3-C	MUD3-C	o0901398
12927	𒤧	129F3	𒧳	MUD₃~d	MUD₃~d	MUD3-D	MUD3-D	o0901399
12928	𒤨	129F4	𒧴	MUL	MUL	MUL	MUL	o0901404
12929	𒤩	129F5	𒧵	MUN~a1	MUN~a1	MUN-A1	MUN-A1	o0901407
1292A	𒤪	129F6	𒧶	MUN~a2	MUN~a2	MUN-A2	MUN-A2	o0901408
1292B	𒤫	129F7	𒧷	MUN~a3	MUN~a3	MUN-A3	MUN-A3	o0901409
1292C	𒤬	129F8	𒧸	MUN~a4	MUN~a4	MUN-A4	MUN-A4	o0901410
1292D	𒤭	129F9	𒧹	MUN~b	MUN~b	MUN-B	MUN-B	o0901411
1292E	𒤮	129FA	𒧺	MUNŠUB~a	MUNŠUB~a	MUNSHUB-A	MUNSHUB-A	o0901413
1292F	𒤯	129FB	𒧻	MUNŠUB~b	MUNŠUB~b	MUNSHUB-B	MUNSHUB-B	o0901414
12930	𒤰	129FC	𒧼	MUNU₃	MUNU₃	MUNU3	MUNU3	o0901415
12931	𒤱	129FD	𒧽	MURUB₂	MURUB₂	MURUB2	MURUB2	o0901416
12932	𒤲	129FE	𒧾	MUŠ	MUŠ	MUSH	MUSH	o0901417
12933	𒤳	129FF	𒧿	MUŠ₃~a	MUŠ₃~a	MUSH3-A	MUSH3-A	o0901419
12934	𒤴	12A00	𒨀	MUŠ₃~a@g	MUŠ₃~a@g	MUSH3-A GUNU	MUSH3-A GUNU	o0901424
12935	𒤵	12A04	𒨄	MUŠ₃~b	MUŠ₃~b	MUSH3-B	MUSH3-B	o0901422
12936	𒤶	12A05	𒨅	MUŠEN	MUŠEN	MUSHEN	MUSHEN	o0901426
12937	𒤷	12A08	𒨈	|MUŠEN×1(N57)|	|MUŠEN×1(N57)|	MUSHEN TIMES ONE-N57	MUSHEN TIMES ONE-N57	o0901430
12938	𒤸	12A09	𒨉	|MUŠEN×2(N57)|	|MUŠEN×2(N57)|	MUSHEN TIMES TWO-N57	MUSHEN TIMES TWO-N57	o0901431
12939	𒤹	12A0A	𒨊	|MUŠEN×3(N57)|	|MUŠEN×3(N57)|	MUSHEN TIMES THREE-N57	MUSHEN TIMES THREE-N57	o0901432
1293A	𒤺	12E0D	𒸍	|(1(N58).BAD)~a|	|1(N58).BAD|	ONE-N58 PLUS BAD FORM A	ONE-N58 BESIDE BAD	o0903282
1293B	𒤻	12E0F	𒸏	|(1(N58).BAD)~b|	|1(N58)~a.BAD~a|	ONE-N58 PLUS BAD FORM B	ONE-N58 FORM A BESIDE BAD-A	o0903283
1293C	𒤼	12A0B	𒨋	NA~a	NA~a	NA-A	NA-A	o0901437
1293D	𒤽	12A0C	𒨌	NA~b	NA~b	NA-B	NA-B	o0901438
1293E	𒤾	12A0D	𒨍	NA~c	NA~c	NA-C	NA-C	o0901439
1293F	𒤿	12A0F	𒨏	NA₂~a	NA₂~a	NA2-A	NA2-A	o0901442
12940	𒥀	12A11	𒨑	NA₂~b1	NA₂~b1	NA2-B1	NA2-B1	o0901444
12941	𒥁	12A12	𒨒	NA₂~b2	NA₂~b2	NA2-B2	NA2-B2	o0901445
12942	𒥂	F3074	󳁴	NA₂~c		NA2-C		o0901446
12943	𒥃	12A13	𒨓	NAB	NAB	NAB	NAB	o0901448
12944	𒥄	12A16	𒨖	NAGA~a	NAGA~a	NAGA-A	NAGA-A	o0901452
12945	𒥅	12A17	𒨗	|NAGA~a×TAK₄~a|	|NAGA~a×TAK₄~a|	NAGA-A TIMES TAK4-A	NAGA-A TIMES TAK4-A	o0901455
12946	𒥆	12A18	𒨘	NAGA~b	NAGA~b	NAGA-B	NAGA-B	o0901453
12947	𒥇	12A19	𒨙	NAGAR~a	NAGAR~a	NAGAR-A	NAGAR-A	o0901457
12948	𒥈	12A1D	𒨝	NAGAR~b	NAGAR~b	NAGAR-B	NAGAR-B	o0901461
12949	𒥉	12A1F	𒨟	NAM~a	NAM~a	NAM-A	NAM-A	o0901464
1294A	𒥊	12A20	𒨠	NAM~b	NAM~b	NAM-B	NAM-B	o0901465
1294B	𒥋	12A21	𒨡	NAM~c	NAM~c	NAM-C	NAM-C	o0901466
1294C	𒥌	12A22	𒨢	NAM~d	NAM~d	NAM-D	NAM-D	o0901467
1294D	𒥍	12A23	𒨣	NAM₂	NAM₂	NAM2	NAM2	o0901468
1294E	𒥎	12A24	𒨤	|NAM₂×1(N01)|	|NAM₂×1(N01)|	NAM2 TIMES ONE-N1	NAM2 TIMES ONE-N1	o0901469
1294F	𒥏	12A25	𒨥	NAM₂@g	NAM₂@g	NAM2 GUNU	NAM2 GUNU	o0901470
12950	𒥐	12A26	𒨦	NAM₂@t	NAM₂@t	NAM2 TENU	NAM2 TENU	o0901471
12951	𒥑	12A27	𒨧	NAMEŠDA	NAMEŠDA	NAMESHDA	NAMESHDA	o0901472
12952	𒥒	12A29	𒨩	NANNA~a	NANNA~a	NANNA-A	NANNA-A	o0901475
12953	𒥓	12A2B	𒨫	NANNA~b	NANNA~b	NANNA-B	NANNA-B	o0901477
12954	𒥔	12A2C	𒨬	NANŠE~a	NANŠE~a	NANSHE-A	NANSHE-A	o0901479
12955	𒥕	12A2D	𒨭	NANŠE~b	NANŠE~b	NANSHE-B	NANSHE-B	o0901480
12956	𒥖	12A2E	𒨮	NAR	NAR	NAR	NAR	o0901481
12957	𒥗	12A2F	𒨯	NE~a	NE~a	NE-A	NE-A	o0901483
12958	𒥘	12A32	𒨲	NE~b	NE~b	NE-B	NE-B	o0901486
12959	𒥙	12A33	𒨳	NE~c	NE~c	NE-C	NE-C	o0901487
1295A	𒥚	12A34	𒨴	NE~d	NE~d	NE-D	NE-D	o0901488
1295B	𒥛	12A35	𒨵	NERGAL~v	NERGAL~v	NERGAL-V	NERGAL-V	o0901491
1295C	𒥜	12A36	𒨶	NESAG₂~a	NESAG₂~a	NESAG2-A	NESAG2-A	o0901493
1295D	𒥝	12A37	𒨷	NESAG₂~b	NESAG₂~b	NESAG2-B	NESAG2-B	o0901496
1295E	𒥞	12A3A	𒨺	NI~a	NI~a	NI-A	NI-A	o0901501
1295F	𒥟	12A3D	𒨽	NI~a@g	NI~a@g	NI-A GUNU	NI-A GUNU	o0901512
12960	𒥠	12A3E	𒨾	NI~b	NI~b	NI-B	NI-B	o0901502
12961	𒥡	12A40	𒩀	|NI~b×4(N57)|	|NI~b×4(N57)|	NI-B TIMES FOUR-N57	NI-B TIMES FOUR-N57	o0901508
12962	𒥢	12A41	𒩁	NI₂	NI₂	NI2	NI2	o0901513
12963	𒥣	12A42	𒩂	NIGIN	NIGIN	NIGIN	NIGIN	o0901514
12964	𒥤	12A43	𒩃	NIM~a	NIM~a	NIM-A	NIM-A	o0901516
12965	𒥥	12A44	𒩄	NIM~b1	NIM~b1	NIM-B1	NIM-B1	o0901517
12966	𒥦	12A45	𒩅	NIM~b2	NIM~b2	NIM-B2	NIM-B2	o0901518
12967	𒥧	12A46	𒩆	NIM~b3	NIM~b3	NIM-B3	NIM-B3	o0901519
12968	𒥨	12A47	𒩇	NIMGIR	NIMGIR	NIMGIR	NIMGIR	o0901521
12969	𒥩	12A49	𒩉	NIN	NIN	NIN	NIN	o0901524
1296A	𒥪	12A4A	𒩊	NINDA₂	NINDA₂	NINDA2	NINDA2	o0901525
1296B	𒥫	12A4B	𒩋	|NINDA₂×AN|	|NINDA₂×AN|	NINDA2 TIMES AN	NINDA2 TIMES AN	o0901527
1296C	𒥬	12A4C	𒩌	|NINDA₂×(AN.HI)|	|NINDA₂×(AN.HI)|	NINDA2 TIMES AN PLUS HI	NINDA2 TIMES AN PLUS HI	o0901528
1296D	𒥭	12A4D	𒩍	|NINDA₂×(AN.ME~a)|	|NINDA₂×(AN.ME~a)|	NINDA2 TIMES AN PLUS ME-A	NINDA2 TIMES AN PLUS ME-A	o0901535
1296E	𒥮	12A50	𒩐	|NINDA₂×EZEN~b|	|NINDA₂×EZEN~b|	NINDA2 TIMES EZEN-B	NINDA2 TIMES EZEN-B	o0901540
1296F	𒥯	12A51	𒩑	|NINDA₂×GAʾAR~a1|	|NINDA₂×GAʾAR~a1|	NINDA2 TIMES GAAR-A1	NINDA2 TIMES GAAR-A1	o0901542
12970	𒥰	12A52	𒩒	|NINDA₂×GAR|	|NINDA₂×GAR|	NINDA2 TIMES GAR	NINDA2 TIMES GAR	o0901543
12971	𒥱	12A53	𒩓	|NINDA₂×GIŠ|	|NINDA₂×GIŠ|	NINDA2 TIMES GISH	NINDA2 TIMES GISH	o0901544
